"//1.사업메타",,,,,,,,,,,,,,,,,,,,,,,
"//사업명_정선해양관측",,,,,,,,,,,,,,,,,,,,,,,
"//사업요약_관할해역의 미리 정해진 정점과 관측선을 따라 정기적으로 수온, 염분, 용존산소, 영양염 및 해양기상자료 등의 관측수행 및 자료제공",,,,,,,,,,,,,,,,,,,,,,,
"//수행기관명_국립수산과학원",,,,,,,,,,,,,,,,,,,,,,,
"//사업책임자명_null",,,,,,,,,,,,,,,,,,,,,,,
"//표준시_KST",,,,,,,,,,,,,,,,,,,,,,,
"//사업시작일_1961-01-29",,,,,,,,,,,,,,,,,,,,,,,
"//사업종료일_2019-12-26",,,,,,,,,,,,,,,,,,,,,,,
"//공간적범위_[(39.7383 122.2167, 31.5 135.0917)]",,,,,,,,,,,,,,,,,,,,,,,
"//키워드_염분, 수온, 용존산소, 규산염, 아질산성질소, 인산염인, 질산성질소, 투명도, ",,,,,,,,,,,,,,,,,,,,,,,
"//플랫폼_",,,,,,,,,,,,,,,,,,,,,,,
"//관측장비_unknown",,,,,,,,,,,,,,,,,,,,,,,
"////",,,,,,,,,,,,,,,,,,,,,,,
"//2. 인용문구",,,,,,,,,,,,,,,,,,,,,,,
"//관할해역 해양정보 공동활용시스템(JOISS)은 자료의 검색/분석 및 다운로드 서비스를 제공하고 있습니다.",,,,,,,,,,,,,,,,,,,,,,,
"//본 포털은 해양수산부의 “해양과학조사 및 예보기술개발” 프로그램의 “관할해역 해양정보 공동활용체계 구축” 연구과제를 통해 구축 및 관리되고 있습니다.",,,,,,,,,,,,,,,,,,,,,,,
"//JOISS에서 제공되고 있는 자료 및 서비스는 자유로운 사용 및 재배포가 가능합니다(자료가 부적절히 사용된 경우 서비스가 제한될 수 있음).",,,,,,,,,,,,,,,,,,,,,,,
"//JOISS에서 제공된 자료 및 서비스(분석 및 그래프)를 사용한 경우 자료의 출처를 반드시 명시해야합니다.",,,,,,,,,,,,,,,,,,,,,,,
"//가능하다면 인용된 문서 정보를 이메일(joiss@kesti.co.kr)로 보내주시길 바라며 이러한 협조는 JOISS 관리 및 발전에 큰 도움이 됩니다.",,,,,,,,,,,,,,,,,,,,,,,
"////",,,,,,,,,,,,,,,,,,,,,,,
"//● References",,,,,,,,,,,,,,,,,,,,,,,
"//[연구사업 수행기관명], [책임자명], [자료명칭(연구사업명)]",,,,,,,,,,,,,,,,,,,,,,,
"//국립수산과학원, null, 정선해양관측",,,,,,,,,,,,,,,,,,,,,,,
"////",,,,,,,,,,,,,,,,,,,,,,,
"//3. 데이터",,,,,,,,,,,,,,,,,,,,,,,
" //플래그정보 : 0:미수행(no quality control), 1:양호(good value), 2:양호예상(probably good value), 3:의심(probably bad value), 4:불량(bad value), 9:결측(missing value)",,,,,,,,,,,,,,,,,,,,,,,
"project_name","station","yyyy-mm-dd hh:mm:ss","Longitude [degrees_east]","Latitude [degrees_north]","bot.depth[m]","수심(m)","dep_flag","염분[psu]","sal_qc","수온[℃]","wtrtmp_qc","용존산소[mg/L]","disoxy_qc","규산염[μM]","reasil_qc","아질산성질소[μM]","nitnit_qc","인산염인[μM]","po4p_qc","질산성질소[μM]","natnit_qc","투명도[m]","tr_qc"
"정선해양관측","102-00","2019-02-22 13:21:00","129.5883","36.0767","0","0","0","34.3952","1","12.2681","1","6.134","1","","","","","","","","","8.5","2"
"정선해양관측","102-00","2019-02-22 13:21:00","129.5883","36.0767","0","10","0","34.3908","1","12.1104","1","6.1245","1","","","","","","","","","8.5","2"
"정선해양관측","102-00","2019-02-22 13:21:00","129.5883","36.0767","0","20","0","34.3931","1","11.841","1","5.9843","1","","","","","","","","","8.5","2"
"정선해양관측","102-00","2019-02-22 13:21:00","129.5883","36.0767","0","30","0","34.3571","1","11.0108","1","5.9236","1","","","","","","","","","8.5","2"
"정선해양관측","102-00","2019-04-23 11:00:00","129.5883","36.0767","0","0","0","34.255","1","13.7612","1","6.1439","1","","","","","","","","","5.2","2"
"정선해양관측","102-00","2019-04-23 11:00:00","129.5883","36.0767","0","10","0","34.2393","1","13.1284","1","6.0598","1","","","","","","","","","5.2","2"
"정선해양관측","102-00","2019-04-23 11:00:00","129.5883","36.0767","0","20","0","34.1813","1","8.0776","1","5.3495","1","","","","","","","","","5.2","2"
"정선해양관측","102-00","2019-04-23 11:00:00","129.5883","36.0767","0","30","0","34.1398","1","4.4147","1","4.8755","1","","","","","","","","","5.2","2"
"정선해양관측","102-00","2019-07-02 10:10:00","129.5883","36.0767","0","0","0","33.2761","1","19.7432","1","5.7287","1","","","","","","","","","6","2"
"정선해양관측","102-00","2019-07-02 10:10:00","129.5883","36.0767","0","10","0","34.0282","1","16.5156","1","4.5461","1","","","","","","","","","6","2"
"정선해양관측","102-00","2019-07-02 10:10:00","129.5883","36.0767","0","20","0","34.2464","1","15.4108","1","3.8557","1","","","","","","","","","6","2"
"정선해양관측","102-00","2019-07-02 10:10:00","129.5883","36.0767","0","30","0","34.2903","1","14.5831","1","3.7267","1","","","","","","","","","6","2"
"정선해양관측","102-00","2019-07-02 10:10:00","129.5883","36.0767","0","50","0","34.1971","1","5.3016","1","4.6044","1","","","","","","","","","6","2"
"정선해양관측","102-00","2019-08-12 21:50:00","129.5883","36.0767","0","0","0","32.414","1","25.3791","1","5.8783","1","","","","","","","","","",""
"정선해양관측","102-00","2019-08-12 21:50:00","129.5883","36.0767","0","10","0","33.9297","1","18.4461","1","6.3552","1","","","","","","","","","",""
"정선해양관측","102-00","2019-08-12 21:50:00","129.5883","36.0767","0","20","0","34.2468","1","14.6052","1","4.6844","1","","","","","","","","","",""
"정선해양관측","102-00","2019-08-12 21:50:00","129.5883","36.0767","0","30","0","34.2615","1","13.9602","1","3.7608","1","","","","","","","","","",""
"정선해양관측","102-00","2019-10-21 21:59:00","129.5883","36.0767","0","0","0","32.3735","1","21.1565","1","4.4848","1","","","","","","","","","",""
"정선해양관측","102-00","2019-10-21 21:59:00","129.5883","36.0767","0","10","0","32.3443","1","21.1275","1","4.7836","1","","","","","","","","","",""
"정선해양관측","102-00","2019-10-21 21:59:00","129.5883","36.0767","0","20","0","32.4193","1","21.1035","1","4.7005","1","","","","","","","","","",""
"정선해양관측","102-00","2019-10-21 21:59:00","129.5883","36.0767","0","30","0","33.2134","1","19.6328","1","4.157","1","","","","","","","","","",""
"정선해양관측","102-04","2019-02-22 13:03:00","129.615","36.0767","0","0","0","34.3695","1","12.9235","1","5.8969","1","7.33098","1","0.316677","2","0.374375","1","3.84199","1","5","2"
"정선해양관측","102-04","2019-02-22 13:03:00","129.615","36.0767","0","10","0","34.3576","1","12.7712","1","5.7493","1","","","","","","","","","5","2"
"정선해양관측","102-04","2019-02-22 13:03:00","129.615","36.0767","0","20","0","34.3377","1","12.4384","1","5.6308","1","","","","","","","","","5","2"
"정선해양관측","102-04","2019-02-22 13:03:00","129.615","36.0767","0","30","0","34.295","1","11.5508","1","5.4466","1","","","","","","","","","5","2"
"정선해양관측","102-04","2019-02-22 13:03:00","129.615","36.0767","0","50","0","34.244","1","9.8486","1","5.3011","1","","","","","","","","","5","2"
"정선해양관측","102-04","2019-02-22 13:03:00","129.615","36.0767","0","75","0","34.0745","1","2.1859","1","5.0057","1","","","","","","","","","5","2"
"정선해양관측","102-04","2019-04-23 10:39:00","129.615","36.0767","0","0","0","34.3819","1","15.5926","1","6.2184","1","6.95966","1","0.010741","2","0.059243","1","0.148922","1","",""
"정선해양관측","102-04","2019-04-23 10:39:00","129.615","36.0767","0","10","0","34.3591","1","15.2587","1","6.2518","1","","","","","","","","","",""
"정선해양관측","102-04","2019-04-23 10:39:00","129.615","36.0767","0","20","0","34.178","1","13.3904","1","6.9359","1","","","","","","","","","",""
"정선해양관측","102-04","2019-04-23 10:39:00","129.615","36.0767","0","30","0","34.1996","1","11.7936","1","5.648","1","","","","","","","","","",""
"정선해양관측","102-04","2019-04-23 10:39:00","129.615","36.0767","0","50","0","34.1331","1","1.7741","1","4.8176","1","","","","","","","","","",""
"정선해양관측","102-04","2019-04-23 10:39:00","129.615","36.0767","0","75","0","34.0549","1","1.3449","1","4.6966","1","","","","","","","","","",""
"정선해양관측","102-04","2019-07-02 09:47:00","129.615","36.0767","0","0","0","33.6663","1","18.4951","1","5.333","1","","","","","","","","","7","2"
"정선해양관측","102-04","2019-07-02 09:47:00","129.615","36.0767","0","10","0","33.9331","1","15.7622","1","5.239","1","","","","","","","","","7","2"
"정선해양관측","102-04","2019-07-02 09:47:00","129.615","36.0767","0","20","0","34.3022","1","15.093","1","4.0433","1","","","","","","","","","7","2"
"정선해양관측","102-04","2019-07-02 09:47:00","129.615","36.0767","0","30","0","34.3672","1","14.8853","1","3.7069","1","","","","","","","","","7","2"
"정선해양관측","102-04","2019-07-02 09:47:00","129.615","36.0767","0","50","0","34.3074","1","9.527","1","4.3703","1","","","","","","","","","7","2"
"정선해양관측","102-04","2019-07-02 09:47:00","129.615","36.0767","0","75","0","34.0654","1","2.6307","1","5.3005","1","","","","","","","","","7","2"
"정선해양관측","102-04","2019-08-12 21:29:00","129.615","36.0767","0","0","0","32.27","1","25.5931","1","5.7819","1","1.72512","1","0.064634","2","0.026731","1","0.383447","1","",""
"정선해양관측","102-04","2019-08-12 21:29:00","129.615","36.0767","0","10","0","32.8331","1","21.6363","1","6.0087","1","","","","","","","","","",""
